LOGRADOURO;BAIRRO;CEP;
Servid∆o 06;Vila Nova, Jaragu† do Sul, SC;89259-072;
Servid∆o 1;Vila Lalau, Jaragu† do Sul, SC;89256-262;
Servid∆o 10;Vila Nova, Jaragu† do Sul, SC;89259-025;
Servid∆o 100;Centro, Jaragu† do Sul, SC;89251-384;
Servid∆o 101;Barra do Rio Molha, Jaragu† do Sul, SC;89259-652;
Servid∆o 102;Ilha da Figueira, Jaragu† do Sul, SC;89258-005;
Servid∆o 106;Nova Bras°lia, Jaragu† do Sul, SC;89252-226;
Rua 1066;Tràs Rios do Norte, Jaragu† do Sul, SC;89266-360;
Servid∆o 107;Ilha da Figueira, Jaragu† do Sul, SC;89258-702;
Rua 1076;Tràs Rios do Norte, Jaragu† do Sul, SC;89266-320;
Rua 1082;Tràs Rios do Norte, Jaragu† do Sul, SC;89266-555;
Rua 1084;Tràs Rios do Norte, Jaragu† do Sul, SC;89266-560;
Servid∆o 109;Nereu Ramos, Jaragu† do Sul, SC;89265-502;
Rua 1097;Tràs Rios do Sul, Jaragu† do Sul, SC;89254-214;
Servid∆o 11;Vila Baependi, Jaragu† do Sul, SC;89256-104;
Servid∆o 111;Barra do Rio Cerro, Jaragu† do Sul, SC;89260-464;
Rua 1112;Rio da Luz, Jaragu† do Sul, SC;89264-415;
Rua 1113;Rio da Luz, Jaragu† do Sul, SC;89264-420;
Servid∆o 113;Barra do Rio Molha, Jaragu† do Sul, SC;89259-796;
Rua 1133;Jaragu† 84, Jaragu† do Sul, SC;89260-815;
Rua 1136;Barra do Rio Cerro, Jaragu† do Sul, SC;89260-285;
Servid∆o 114;Czerniewicz, Jaragu† do Sul, SC;89255-161;
Rua 1144;Amizade, Jaragu† do Sul, SC;89255-765;
Rua 1145;Barra do Rio Cerro, Jaragu† do Sul, SC;89260-465;
Rua 1149;Tràs Rios do Sul, Jaragu† do Sul, SC;89254-224;
Rua 1153;Ilha da Figueira;Jaragu† do Sul, SC;89258-500
Rua 1154;Ilha da Figueira;Jaragu† do Sul, SC;89258-490
Rua 1167;Ribeir∆o Cavalo;Jaragu† do Sul, SC;89265-243
Servid∆o 117;Tifa Martins;Jaragu† do Sul, SC;89252-574
Rua 1171;Ribeir∆o Cavalo;Jaragu† do Sul, SC;89265-232
Servid∆o 118;Centro;Jaragu† do Sul, SC;89251-272
Rua 1186;Parque Malwee;Jaragu† do Sul, SC;89262-100
Servid∆o 119;Vila Nova;Jaragu† do Sul, SC;89259-110
Rua 1191;Boa Vista;Jaragu† do Sul, SC;89268-005
Servid∆o 12;Centro;Jaragu† do Sul, SC;89251-304
Rua 1203;Amizade;Jaragu† do Sul, SC;89255-807
Rua 1207;Amizade;Jaragu† do Sul, SC;89255-738
Servid∆o 121;Amizade;Jaragu† do Sul, SC;89255-693
Servid∆o 122;Tifa Martins;Jaragu† do Sul, SC;89252-582
Servid∆o 123;Czerniewicz;Jaragu† do Sul, SC;89255-352
Rua 1232;Czerniewicz;Jaragu† do Sul, SC;89255-262
Servid∆o 124;Vila Nova;Jaragu† do Sul, SC;89259-055
Rua 1251;Ilha da Figueira;Jaragu† do Sul, SC;89258-813
Servid∆o 126;Barra do Rio Cerro;Jaragu† do Sul, SC;89260-411
Rua 1260;Tràs Rios do Sul;Jaragu† do Sul, SC;89254-250
Servid∆o 127;Ilha da Figueira;Jaragu† do Sul, SC;89258-572
Rua 1277;S∆o Lu°s;Jaragu† do Sul, SC;89253-506
Rua 1284;Rio da Luz;Jaragu† do Sul, SC;89264-417
Servid∆o 129;Vila Baependi;Jaragu† do Sul, SC;89256-073
Servid∆o 13;Nova Bras°lia;Jaragu† do Sul, SC;89252-169
Rua 13 de Maio;Czerniewicz;Jaragu† do Sul, SC;89255-400
- atÇ 550/551;;;
Rua 13 de Maio;Amizade;Jaragu† do Sul, SC;89255-442
- de 552/553 ao fim;;;
Rua 1302;Amizade;Jaragu† do Sul, SC;89255-690
Servid∆o 131;Barra do Rio Molha;Jaragu† do Sul, SC;89259-603
Rua 1316;Jo∆o Pessoa;Jaragu† do Sul, SC;89257-759
Servid∆o 134;Barra do Rio Molha;Jaragu† do Sul, SC;89259-602
Rua 1349;Tràs Rios do Norte;Jaragu† do Sul, SC;89266-754
Servid∆o 135;Nereu Ramos;Jaragu† do Sul, SC;89265-704
Rua 1351;Santo Antìnio;Jaragu† do Sul, SC;89266-289
Rua 1354;Santo Antìnio;Jaragu† do Sul, SC;89266-292
Servid∆o 136;µgua Verde;Jaragu† do Sul, SC;89254-442
Rua 1363;Chico de Paulo;Jaragu† do Sul, SC;89254-874
Rua 1364;Parque Malwee;Jaragu† do Sul, SC;89262-075
Rua 1365;Parque Malwee;Jaragu† do Sul, SC;89262-070
Rua 1366;Tifa Martins;Jaragu† do Sul, SC;89253-864
Rua 1367;Barra do Rio Molha;Jaragu† do Sul, SC;89259-657
Rua 1369;Vieira;Jaragu† do Sul, SC;89257-047
